In which discipline is your highest academic qualification?,edu2. In which discipline is your highest academic qualification? [PERCENTAGE]
Information technology,25.454545454545453
Other,10.909090909090908
Biomedical engineering,7.2727272727272725
Artificial intelligence,5.454545454545454
Physics,5.454545454545454
Applied mathematics,4.545454545454546
Electrical and electronic engineering,3.6363636363636362
Genetics,2.727272727272727
Theoretical physics and chemistry,2.727272727272727
Chemical engineering,2.727272727272727
Astronomy and astrophysics,1.8181818181818181
Fluid mechanics,1.8181818181818181
Physical chemistry,1.8181818181818181
Social sciences and humanities,1.8181818181818181
Molecular biology,1.8181818181818181
Earth science,1.8181818181818181
Biochemistry,1.8181818181818181
Health Sciences,1.8181818181818181
Evolution and ecology,1.8181818181818181
Physical geography,0.9090909090909091
Industrial engineering,0.9090909090909091
Microbiology,0.9090909090909091
Space science,0.9090909090909091
Geoghraphical information,0.9090909090909091
Oceanography,0.9090909090909091
Agricultural engineering,0.9090909090909091
Mechanical engineering,0.9090909090909091
Life sciences research related to human health and disease,0.9090909090909091
Other studies in natural sciences and engineering,0.9090909090909091
Nuclear engineering,0.9090909090909091
Structural engineering,0.9090909090909091
Hydrology,0.9090909090909091
Mining and mineral processing,0.9090909090909091
