In which application area do you primarily work?,currentEmp7. In which application area do you primarily work?
Information technology,20
Other,17
Artificial intelligence,8
Genetics,6
Applied mathematics,5
Astronomy and astrophysics,4
Health Sciences,4
Theoretical physics and chemistry,3
Fuel and energy technology,3
Physics,3
Earth science,3
Biomedical engineering,2
Oceanography,2
Animal biology,2
Life sciences research related to human health and disease,2
Chemical engineering,2
Geoghraphical information,2
Polymer chemistry,1
Mechanical engineering,1
Statistics and probability,1
Physical chemistry,1
Robotics,1
Other studies in natural sciences and engineering,1
Fluid mechanics,1
Social sciences and humanities,1
Geophysics,1
Agricultural engineering,1
Physical geography,1
Industrial engineering,1
,10
