,In which subject is your highest academic qualification? [PERCENTAGE]
Computer Science,27.49
Physics and Astronomy,27.49
Mathematics,7.57
Chemistry,6.37
Biological Sciences,5.98
Other,4.78
Geography & Environmental Sciences,3.98
Electrical & Electronic Engineering,3.19
Civil Engineering,2.39
Mechanical Engineering,1.59
Geology,1.2
Linguistics,1.2
Materials Technology,1.2
Psychology,1.2
General Engineering,1.2
Medicine,0.8
Aeronautical & Manufacturing Engineering,0.8
History,0.4
Theology & Religious Studies,0.4
Art & Design,0.4
Robotics,0.4
