,Which University do you work for?
Humboldt University of Berlin,9
University of Würzburg,8
University of Potsdam,8
Karlsruhe Institute of Technology,6
University of Cologne,6
University of Göttingen,5
TU Dresden,5
Free University of Berlin,5
University of Kiel,5
Other,4
Technical University of Berlin,4
University of Hamburg,4
Goethe University Frankfurt,3
University of Münster,3
University of Jena,2
Ludwig Maximilian University of Munich,2
Leipzig University,2
University of Konstanz,2
University of Bonn,2
University of Passau,2
University of Freiburg,2
University of Hanover,1
University of Oldenburg,1
University of Düsseldorf,1
University of Duisburg-Essen,1
Technical University of Munich,1
FernUniversität Hagen,1
Heidelberg University,1
University of Koblenz and Landau,1
University of Kaiserslautern,1
,227
