,Which Max-Planck institute do you work for?
Max Planck Institute of Molecular Cell Biology and Genetics,11
Max Planck Institute for Biophysical Chemistry,11
Max Planck Institute for Gravitational Physics,9
Other,7
Max Planck Institute for Meteorology,7
Max Planck Institute for Brain Research,4
Max Planck Institute for Physics,4
Max Planck Institute for Dynamics of Complex Technical Systems,3
Max Planck Institute for Colloids and Interfaces,3
Max Planck Institute for Biophysics,3
Max Planck Institute for Evolutionary Biology,3
Max Planck Institute for Intelligent Systems,2
Max Planck Institute for Biogeochemistry,2
Max Planck Institute for the History of Science,1
Max Planck Institute for European History of Law,1
Max Planck Institute for Biology,1
Max Planck Institute for Plant Breeding Research,1
Max Planck Institute for the Science of Human History,1
Max Planck Institute for Metabolism Research,1
Max Planck Institute for Cell Biology,1
Max Planck Institute for Ornithology,1
Max Planck Institute for Computer Science,1
Max Planck Institute for Medical Research,1
Max Planck Institute for Dynamics and Self-Organization,1
,245
