,Count
"Federal and state governments (BMBF, BMWi, BMVg and other sections)",92
"DFG, German Research Foundation",75
"European Union (e.g. H2020, COST, EUREKA)",22
I volunteer my time,12
"Foundations and conveyors (public and private, e.g. VolkswagenStiftung, Robert Bosch Stiftung, Klaus Tschira Stiftung, Stiftung Mercator)",9
Industry support,3
Stifterverband,1
Associations and chambers,1
Membership,1
Consulting & services,1
Crowdfunding (one-time),0
Crowdfunding (recurring),0
Venture capital,0
Dual license,0
Open core,0
Trademark licensing & franchising,0
