,Count
"Federal and state governments (BMBF, BMWi, BMVg and other sections)",78
"DFG, German Research Foundation",59
"European Union (e.g. H2020, COST, EUREKA)",22
I volunteer my time,15
"Foundations and conveyors (public and private, e.g. VolkswagenStiftung, Robert Bosch Stiftung, Klaus Tschira Stiftung, Stiftung Mercator)",6
Industry support,4
Associations and chambers,2
Stifterverband,1
Open core,1
Membership,0
Crowdfunding (one-time),0
Crowdfunding (recurring),0
Consulting & services,0
Venture capital,0
Dual license,0
Trademark licensing & franchising,0
