class	type/scale	name	relevance	text	help	language	validation	mandatory	other	default	same_default	allowed_filetypes	alphasort	answer_width	array_filter	array_filter_exclude	array_filter_style	assessment_value	category_separator	choice_title	code_filter	commented_checkbox	commented_checkbox_auto	cssclass	date_format	date_max	date_min	display_columns	display_rows	display_type	dropdown_dates	dropdown_dates_minute_step	dropdown_dates_month_style	dropdown_prefix	dropdown_prepostfix	dropdown_separators	dropdown_size	dualscale_headerA	dualscale_headerB	em_validation_q	em_validation_q_tip	em_validation_sq	em_validation_sq_tip	equals_num_value	equation	exclude_all_others	exclude_all_others_auto	hidden	hide_tip	input_boxes	label_input_columns	location_city	location_country	location_defaultcoordinates	location_mapheight	location_mapservice	location_mapwidth	location_mapzoom	location_nodefaultfromip	location_postal	location_state	max_answers	max_filesize	max_num_of_files	max_num_value	max_num_value_n	max_subquestions	maximum_chars	min_answers	min_num_of_files	min_num_value	min_num_value_n	multiflexible_checkbox	multiflexible_max	multiflexible_min	multiflexible_step	num_value_int_only	numbers_only	other_comment_mandatory	other_numbers_only	other_replace_text	page_break	parent_order	prefix	printable_help	public_statistics	random_group	random_order	rank_title	repeat_headings	reverse	samechoiceheight	samelistheight	scale_export	show_comment	show_grand_total	show_title	show_totals	showpopups	slider_accuracy	slider_custom_handle	slider_default	slider_handle	slider_layout	slider_max	slider_middlestart	slider_min	slider_orientation	slider_rating	slider_reset	slider_separator	slider_showminmax	statistics_graphtype	statistics_showgraph	statistics_showmap	suffix	text_input_columns	text_input_width	time_limit	time_limit_action	time_limit_countdown_message	time_limit_disable_next	time_limit_disable_prev	time_limit_message	time_limit_message_delay	time_limit_message_style	time_limit_timer_style	time_limit_warning	time_limit_warning_2	time_limit_warning_2_display_time	time_limit_warning_2_message	time_limit_warning_2_style	time_limit_warning_display_time	time_limit_warning_message	time_limit_warning_style	use_dropdown	value_range_allows_missing
S		sid		421498																																																																																																																																					
S		owner_id		1																																																																																																																																					
S		admin		Administrator																																																																																																																																					
S		active		Y																																																																																																																																					
S		adminemail		orp2c15@soton.ac.uk																																																																																																																																					
S		anonymized		N																																																																																																																																					
S		format		G																																																																																																																																					
S		savetimings		Y																																																																																																																																					
S		template		ubuntu_orange																																																																																																																																					
S		language		en																																																																																																																																					
S		datestamp		Y																																																																																																																																					
S		usecookie		N																																																																																																																																					
S		allowregister		N																																																																																																																																					
S		allowsave		Y																																																																																																																																					
S		autonumber_start		15																																																																																																																																					
S		autoredirect		N																																																																																																																																					
S		allowprev		Y																																																																																																																																					
S		printanswers		Y																																																																																																																																					
S		ipaddr		Y																																																																																																																																					
S		refurl		Y																																																																																																																																					
S		datecreated		2017-05-24																																																																																																																																					
S		publicstatistics		N																																																																																																																																					
S		publicgraphs		N																																																																																																																																					
S		listpublic		N																																																																																																																																					
S		htmlemail		N																																																																																																																																					
S		sendconfirmation		Y																																																																																																																																					
S		tokenanswerspersistence		N																																																																																																																																					
S		assessments		N																																																																																																																																					
S		usecaptcha		N																																																																																																																																					
S		usetokens		N																																																																																																																																					
S		bounce_email		orp2c15@soton.ac.uk																																																																																																																																					
S		tokenlength		15																																																																																																																																					
S		showxquestions		N																																																																																																																																					
S		showgroupinfo		B																																																																																																																																					
S		shownoanswer		Y																																																																																																																																					
S		showqnumcode		N																																																																																																																																					
S		bounceprocessing		N																																																																																																																																					
S		showwelcome		Y																																																																																																																																					
S		showprogress		Y																																																																																																																																					
S		questionindex		0																																																																																																																																					
S		navigationdelay		0																																																																																																																																					
S		nokeyboard		N																																																																																																																																					
S		alloweditaftercompletion		N																																																																																																																																					
S		googleanalyticsstyle		0																																																																																																																																					
SL		surveyls_title		Survey: Research Software Engineering in the Netherlands		en																																																																																																																																			
SL		surveyls_welcometext		"<h2>The purpose of this survey</h2>
<p>The purpose of this survey is to collect information about people who develop software that is used in research.
Increasingly, these people are being referred to as <a href=""https://www.software.ac.uk/blog/2016-11-17-not-so-brief-history-research-software-engineers"" target=""_blank"">Research Software Engineers (RSEs)</a>. Their formal
job titles vary widely, ranging from professor to PhD candidate and from data steward to research assistant.</p>
<h2>Why did I receive this invitation?</h2>
<p>You have received this link because you are working at an organisation in the Netherlands that may employ people who could identify as Research Software Engineer.</p>
<p>There is currently very little reliable information about the RSE community in the Netherlands. That's why the <a href=""https://www.esciencecenter.nl/"" target=""_blank"">Netherlands eScience Center</a>, <a href=""https://escience-platform.nl/"" target=""_blank"">ePLAN</a> (Platform of eScience/Data Research Centers in the Netherlands), the recently started
<a href=""http://nl-rse.org/"" target=""_blank"">NL-RSE Community</a>, and the <a href=""http://rse.ac.uk/"" target=""_blank"">UK Research Software Engineer Association</a> have decided to take the first step in collecting this information. The aim is to
generate insights in the emergence of the position of developers of research software in the Netherlands. We hope the information will help funders, universities and other research organisations
develop policies that will support RSEs. This questionnaire gives you the opportunity to express your views about your current job and give us information about your career path.</p>
<p>Please note that this survey is not compulsory and even if you decide to participate you can withdraw at any moment.</p>
<h2>How long will it take?</h2>
<p>There is a maximum of 45 questions in this survey. It takes about 10 minutes to complete.</p>
<h2>Who is responsible for this survey?</h2>
<p>This study is conducted by the University of Southampton on behalf of the <a href=""http://software.ac.uk/"" target=""_blank"">Software Sustainability Institute</a> and complies with University of Southampton ethics guidelines (reference no.: ERGO/FPSE/30610).
The investigators are <a href=""mailto:s.hettrick@software.ac.uk"" target=""_blank"">Simon Hettrick</a> and <a href=""mailto:olivier.philippe@soton.ac.uk"" target=""_blank"">Olivier Philippe</a>. Contact persons in the Netherlands are
<a href=""mailto:b.vanwerkhoven@esciencecenter.nl"" target=""_blank"">Ben van Werkhoven</a> and <a href=""mailto:t.bakker@esciencecenter.nl"" target=""_blank"">Tom Bakker</a> from the Netherlands eScience Center.</p>
<p>The survey is hosted on Limesurvey servers in Germany and respects the provisions of the <a href=""https://www.gov.uk/data-protection/the-data-protection-act"" target=""_blank"">Data Protection Act</a>.
These records are anonymised and access is strictly protected and granted to the main researchers only. The results of the survey will be released publicly but only after they have been processed to ensure that individual respondents can not be identified. The results will be released under a <a href=""https://creativecommons.org/licenses/by-nc/2.5/scotland/"" target=""_blank"">Creative Commons by attribution, non-commercial licence</a>.</p>
<p>If you would like more information about the research or about the data collection, please contact <a href=""mailto:olivier.philippe@soton.ac.uk"" target=""_blank"">Olivier Philippe</a>.</p>
<p>If you have a concern or would like to make a complaint, please contact <a href=""mailto:s.hettrick@software.ac.uk"" target=""_blank"">Simon Hettrick</a>.</p>"		en																																																																																																																																			
SL		surveyls_endtext		"<p>Thank you for your participation.</p>
<p>If you are interested in the outcomes of this survey, please keep an eye on the 
<a href=""http://nl-rse.org/"" target=""_blank"">NL-RSE website</a> for the Netherlands and the <a href=""https://www.software.ac.uk"" target=""_blank"">Software Sustainability Institute's website</a> for the RSE surveys across different countries.</p>
<p>You can also get updates by joining the <a href=""http://nl-rse.org/join.html"" target=""_blank"">NL-RSE Community</a>. Joining the NL-RSE Community is easy – just sign up to our
<a href=""https://lists.nl-rse.org/mailman/listinfo/everyone"" target=""_blank"">mailing list</a>.</p>"		en																																																																																																																																			
SL		surveyls_email_invite_subj		Invitation to participate in a survey		en																																																																																																																																			
SL		surveyls_email_invite		"Dear {FIRSTNAME},  you have been invited to participate in a survey.  The survey is titled: ""{SURVEYNAME}""  ""{SURVEYDESCRIPTION}""  To participate, please click on the link below.  Sincerely,  {ADMINNAME} ({ADMINEMAIL})  ---------------------------------------------- Click here to do the survey: {SURVEYURL}  If you do not want to participate in this survey and don't want to receive any more invitations please click the following link: {OPTOUTURL}  If you are blacklisted but want to participate in this survey and want to receive invitations please click the following link: {OPTINURL}"		en																																																																																																																																			
SL		surveyls_email_remind_subj		Reminder to participate in a survey		en																																																																																																																																			
SL		surveyls_email_remind		"Dear {FIRSTNAME},  Recently we invited you to participate in a survey.  We note that you have not yet completed the survey, and wish to remind you that the survey is still available should you wish to take part.  The survey is titled: ""{SURVEYNAME}""  ""{SURVEYDESCRIPTION}""  To participate, please click on the link below.  Sincerely,  {ADMINNAME} ({ADMINEMAIL})  ---------------------------------------------- Click here to do the survey: {SURVEYURL}  If you do not want to participate in this survey and don't want to receive any more invitations please click the following link: {OPTOUTURL}"		en																																																																																																																																			
SL		surveyls_email_register		Dear {FIRSTNAME},  You, or someone using your email address, have registered to participate in an online survey titled {SURVEYNAME}.  To complete this survey, click on the following URL:  {SURVEYURL}  If you have any questions about this survey, or if you did not register to participate and believe this email is in error, please contact {ADMINNAME} at {ADMINEMAIL}.		en																																																																																																																																			
SL		surveyls_email_confirm_subj		Confirmation of your participation in our survey		en																																																																																																																																			
SL		surveyls_email_confirm		Dear {FIRSTNAME},  this email is to confirm that you have completed the survey titled {SURVEYNAME} and your response has been saved. Thank you for participating.  If you have any further questions about this email, please contact {ADMINNAME} on {ADMINEMAIL}.  Sincerely,  {ADMINNAME}		en																																																																																																																																			
SL		surveyls_dateformat		2		en																																																																																																																																			
SL		email_admin_notification_subj		Response submission for survey {SURVEYNAME}		en																																																																																																																																			
SL		email_admin_notification		Hello,  A new response was submitted for your survey '{SURVEYNAME}'.  Click the following link to reload the survey: {RELOADURL}  Click the following link to see the individual response: {VIEWRESPONSEURL}  Click the following link to edit the individual response: {EDITRESPONSEURL}  View statistics by clicking here: {STATISTICSURL}		en																																																																																																																																			
SL		email_admin_responses_subj		Response submission for survey {SURVEYNAME} with results		en																																																																																																																																			
SL		email_admin_responses		Hello,  A new response was submitted for your survey '{SURVEYNAME}'.  Click the following link to reload the survey: {RELOADURL}  Click the following link to see the individual response: {VIEWRESPONSEURL}  Click the following link to edit the individual response: {EDITRESPONSEURL}  View statistics by clicking here: {STATISTICSURL}   The following answers were given by the participant: {ANSWERTABLE}		en																																																																																																																																			
SL		surveyls_numberformat		0		en																																																																																																																																			
G	G0	Questions about you	1			en																																																																																																																																			
Q	!	socio1		In which country do you work?		en		Y	N		1																																																																																																							1						1																	
A	0	1		Afghanistan		en																																																																																																																																			
A	0	2		Åland Islands		en																																																																																																																																			
A	0	3		Albania		en																																																																																																																																			
A	0	4		Algeria		en																																																																																																																																			
A	0	5		American Samoa		en																																																																																																																																			
A	0	6		Andorra		en																																																																																																																																			
A	0	7		Angola		en																																																																																																																																			
A	0	8		Anguilla		en																																																																																																																																			
A	0	9		Antarctica		en																																																																																																																																			
A	0	10		Antigua and Barbuda		en																																																																																																																																			
A	0	11		Argentina		en																																																																																																																																			
A	0	12		Armenia		en																																																																																																																																			
A	0	13		Aruba		en																																																																																																																																			
A	0	14		Australia		en																																																																																																																																			
A	0	15		Austria		en																																																																																																																																			
A	0	16		Azerbaijan		en																																																																																																																																			
A	0	17		Bahamas		en																																																																																																																																			
A	0	18		Bahrain		en																																																																																																																																			
A	0	19		Bangladesh		en																																																																																																																																			
A	0	20		Barbados		en																																																																																																																																			
A	0	21		Belarus		en																																																																																																																																			
A	0	22		Belgium		en																																																																																																																																			
A	0	23		Belize		en																																																																																																																																			
A	0	24		Benin		en																																																																																																																																			
A	0	25		Bermuda		en																																																																																																																																			
A	0	26		Bhutan		en																																																																																																																																			
A	0	27		Bolivia, Plurinational State of		en																																																																																																																																			
A	0	28		Bonaire, Sint Eustatius and Saba		en																																																																																																																																			
A	0	29		Bosnia and Herzegovina		en																																																																																																																																			
A	0	30		Botswana		en																																																																																																																																			
A	0	31		Bouvet Island		en																																																																																																																																			
A	0	32		Brazil		en																																																																																																																																			
A	0	33		British Indian Ocean Territory		en																																																																																																																																			
A	0	34		Brunei Darussalam		en																																																																																																																																			
A	0	35		Bulgaria		en																																																																																																																																			
A	0	36		Burkina Faso		en																																																																																																																																			
A	0	37		Burundi		en																																																																																																																																			
A	0	38		Cambodia		en																																																																																																																																			
A	0	39		Cameroon		en																																																																																																																																			
A	0	40		Canada		en																																																																																																																																			
A	0	41		Cape Verde		en																																																																																																																																			
A	0	42		Cayman Islands		en																																																																																																																																			
A	0	43		Central African Republic		en																																																																																																																																			
A	0	44		Chad		en																																																																																																																																			
A	0	45		Chile		en																																																																																																																																			
A	0	46		China		en																																																																																																																																			
A	0	47		Christmas Island		en																																																																																																																																			
A	0	48		Cocos (Keeling) Islands		en																																																																																																																																			
A	0	49		Colombia		en																																																																																																																																			
A	0	50		Comoros		en																																																																																																																																			
A	0	51		Congo		en																																																																																																																																			
A	0	52		Congo, the Democratic Republic of the		en																																																																																																																																			
A	0	53		Cook Islands		en																																																																																																																																			
A	0	54		Costa Rica		en																																																																																																																																			
A	0	55		Côte d'Ivoire		en																																																																																																																																			
A	0	56		Croatia		en																																																																																																																																			
A	0	57		Cuba		en																																																																																																																																			
A	0	58		Curaçao		en																																																																																																																																			
A	0	59		Cyprus		en																																																																																																																																			
A	0	60		Czech Republic		en																																																																																																																																			
A	0	61		Denmark		en																																																																																																																																			
A	0	62		Djibouti		en																																																																																																																																			
A	0	63		Dominica		en																																																																																																																																			
A	0	64		Dominican Republic		en																																																																																																																																			
A	0	65		Ecuador		en																																																																																																																																			
A	0	66		Egypt		en																																																																																																																																			
A	0	67		El Salvador		en																																																																																																																																			
A	0	68		Equatorial Guinea		en																																																																																																																																			
A	0	69		Eritrea		en																																																																																																																																			
A	0	70		Estonia		en																																																																																																																																			
A	0	71		Ethiopia		en																																																																																																																																			
A	0	72		Falkland Islands (Malvinas)		en																																																																																																																																			
A	0	73		Faroe Islands		en																																																																																																																																			
A	0	74		Fiji		en																																																																																																																																			
A	0	75		Finland		en																																																																																																																																			
A	0	76		France		en																																																																																																																																			
A	0	77		French Guiana		en																																																																																																																																			
A	0	78		French Polynesia		en																																																																																																																																			
A	0	79		French Southern Territories		en																																																																																																																																			
A	0	80		Gabon		en																																																																																																																																			
A	0	81		Gambia		en																																																																																																																																			
A	0	82		Georgia		en																																																																																																																																			
A	0	83		Germany		en																																																																																																																																			
A	0	84		Ghana		en																																																																																																																																			
A	0	85		Gibraltar		en																																																																																																																																			
A	0	86		Greece		en																																																																																																																																			
A	0	87		Greenland		en																																																																																																																																			
A	0	88		Grenada		en																																																																																																																																			
A	0	89		Guadeloupe		en																																																																																																																																			
A	0	90		Guam		en																																																																																																																																			
A	0	91		Guatemala		en																																																																																																																																			
A	0	92		Guernsey		en																																																																																																																																			
A	0	93		Guinea		en																																																																																																																																			
A	0	94		Guinea-Bissau		en																																																																																																																																			
A	0	95		Guyana		en																																																																																																																																			
A	0	96		Haiti		en																																																																																																																																			
