Which university?,currentEmp2. Which university?
University of Edinburgh,23
University of Sheffield,14
University of Manchester,11
University College London (UCL),11
University of Oxford,11
University of St Andrews,10
University of Cambridge,9
University of Southampton,8
University of Bristol,7
University of Leeds,7
Imperial College London,6
University of Birmingham,5
"University of Warwick, Coventry",4
University of Dundee,3
Newcastle University,3
University of Reading,3
University of Bath,3
University of Glasgow,2
King's College London,2
Bournemouth University,2
University of York,2
Other,2
"Durham University, Durham and Stockton-on-Tees (Queen's Campus)",2
University of Exeter,2
Bangor University,1
Royal Veterinary College,1
"University of Sussex, Falmer and Brighton",1
"St George's, University of London",1
University of Leicester,1
University of Nottingham,1
Swansea University,1
University of Liverpool,1
"Queen Mary, University of London",1
"Heriot-Watt University, Edinburgh and Galashiels",1
"University of Gloucestershire, Cheltenham, Gloucester and London",1
"Birkbeck, University of London",1
"Cranfield University, Cranfield, and Shrivenham",1
,88
