,Which University?
University of Ilinois at Urbana-Champaign,9
Princeton University,8
"Ohio State University, Columbus",6
University of Notre Dame,5
Purdue University,5
University of Michigan-Ann Arbor,4
Stanford University,4
Johns Hopkins University,4
"University of California, Berkeley",4
Virginia Polytechnic Institute and State University,4
University of Wisconsin-Madison,4
University of Washington,3
"University of California, Davis",3
University of Colorado at Boulder,3
Other,3
Massachusetts Institute of Technology,3
University of Chicago,2
Colorado State University,2
California Institute of Technology,2
University of Missouri-Columbia,2
Cornell University,2
University of Alabama at Birmingham,2
New York University,2
Harvard University,2
Pennsylvania State University,2
"University of California, Santa Barbara",2
University of Florida,2
"University of California, Riverside",1
Rice University,1
Vanderbilt University,1
"University of California, San Francisco",1
Northwestern University,1
State University of New York at Stony Brook,1
"University of Virginia, Charlottesville",1
Case Western Reserve University,1
University of Texas at Austin,1
Columbia University,1
Georgia Institute of Technology,1
Florida Agricultural and Mechanical University,1
"University of California, San Diego",1
"California Polytechnic State University, San Luis Obispo",1
University of Houston,1
University of Oregon,1
University of Utah,1
University of Kentucky,1
University of Southern California,1
"University of Nebraska, Lincoln",1
University of Texas at Tyler,1
Temple University,1
University of Colorado at Colorado Springs,1
Washington State University,1
College of William and Mary,1
University of Arizona,1
State University of New York at Buffalo,1
Yale University,1
,42
